EnglishProductName,Color,EnglishDescription,ListPrice
"Road-650 Black, 52",Black,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",782.99
"Mountain-100 Silver, 38",Silver,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3399.99
"Mountain-100 Silver, 42",Silver,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3399.99
"Mountain-100 Silver, 44",Silver,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3399.99
"Mountain-100 Silver, 48",Silver,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3399.99
"Mountain-100 Black, 38",Black,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3374.99
"Mountain-100 Black, 42",Black,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3374.99
"Mountain-100 Black, 44",Black,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3374.99
"Mountain-100 Black, 48",Black,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",3374.99
"Mountain-200 Silver, 38",Silver,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2071.4196
"Mountain-200 Silver, 38",Silver,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2319.99
"Mountain-200 Silver, 42",Silver,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2071.4196
"Mountain-200 Silver, 42",Silver,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2319.99
"Mountain-200 Silver, 46",Silver,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2071.4196
"Mountain-200 Silver, 46",Silver,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2319.99
"Mountain-200 Black, 38",Black,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2049.0982
"Mountain-200 Black, 38",Black,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2294.99
"Mountain-200 Black, 42",Black,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2049.0982
"Mountain-200 Black, 42",Black,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2294.99
"Mountain-200 Black, 46",Black,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2049.0982
"Mountain-200 Black, 46",Black,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2294.99
"Mountain-300 Black, 38",Black,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,1079.99
"Mountain-300 Black, 40",Black,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,1079.99
"Mountain-300 Black, 44",Black,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,1079.99
"Mountain-300 Black, 48",Black,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,1079.99
"Road-250 Red, 44",Red,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
"Road-250 Red, 48",Red,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
"Road-250 Red, 52",Red,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
"Road-250 Red, 58",Red,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2181.5625
"Road-250 Red, 58",Red,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
"Road-250 Black, 44",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2181.5625
"Road-250 Black, 44",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
"Road-250 Black, 48",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2181.5625
"Road-250 Black, 48",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
"Road-250 Black, 52",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2181.5625
"Road-250 Black, 52",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
"Road-250 Black, 58",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2181.5625
"Road-250 Black, 58",Black,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2443.35
